"","nomes","cargo_funcao","fala"
"1065","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","O senhor já sugeriu isso a ela? "
"1066","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não, não tratei com a Dra. Mayra em nenhum momento sobre essas medicações. Eu estou tratando com a Dra. Mayra sobre a residência médica, que há várias vagas de residência médica no sistema público de saúde; a questão do Programa Médicos pelo Brasil. É esse o assunto que eu trato com a Dra. Mayra. E eu aqui já fiz a exposição de motivos por que eu conto com a Dra. Mayra na minha equipe. "
"1067","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Dr. Marcelo – pra finalizar aqui –, a Dra. Luana disse claramente aqui... E eu queria que o senhor fosse claro, Ministro, porque isto é importante para o senhor. O senhor está aqui na condição de testemunha, como também a Dra. Luana, que fez esse juramento aqui quando esteve. E ela disse claramente que o senhor havia falado pra ela que ela não ficaria no cargo porque não houve chancela da Casa Civil. O senhor nega, de forma clara, essa informação? O senhor não falou isso pra ela?         "
"1068","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Eu falei pra Dra. Luana que o nome dela precisaria ser validado na Casa Civil e na Secretaria do Governo, como todos. E não houve óbice da Casa Civil nesse sentido. A decisão foi uma decisão discricionária minha, sem prejuízo da qualificação técnica. "
"1069","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Se foi sua, pra que fazer referência à Casa Civil? "
"1070","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Hein? "
"1071","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Se a decisão foi sua... "
"1072","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Eu falei anteriormente a ela, quando indiquei o nome dela, que precisaria passar pela validação da Casa Civil. E a decisão técnica, eu já aqui expliquei a motivação... Eu preciso harmonizar, de uma vez por todas, essa questão. "
"1073","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","O senhor diz, então, que ela mentiu aqui na Comissão? "
"1074","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não, de maneira nenhuma. A Dra. Luana não mentiu. "
"1075","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Mas ela diz uma coisa e o senhor diz outra, Ministro. Ela disse que o nome dela não foi aprovado politicamente. O senhor está dizendo que isso não é verdade. "
"1076","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Politicamente, quem faz essa decisão política a respeito do Ministério da Saúde sou eu. E eu entendi... "
"1077","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Então, a decisão foi política sua? "
"1078","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Minha, decisão minha. "
"1079","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Não foi da Casa Civil? "
"1080","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não foi da Casa Civil. "
"1081","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Ou seja, a Luana mentiu, então. É isso o que o senhor está dizendo? "
"1082","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não, eu não estou dizendo que a Luana mentiu. "
"1083","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Senadora Eliziane Gama, mais um minuto, para V. Exa. concluir, por gentileza. "
"1084","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Só para fechar aqui meu raciocínio, Presidente. Só para fechar aqui meu raciocínio. Ministro, o senhor é tido como um técnico, uma pessoa... Inclusive, quando foi anunciado pra ser Ministro, foi elogiado pelo seu posicionamento técnico e científico. O senhor, inclusive, quando chegou, anunciou, por exemplo, o protocolo do uso de máscara no Ministério da Saúde, ou seja, nem os servidores do Ministério da Saúde estavam acostumados, de fato, a usar máscara. O senhor adotou, de fato, esse protocolo. Ao mesmo tempo, Ministro, o senhor está dentro de um Governo que, por exemplo, já tem quatro ministros durante a pandemia, é um Governo que, infelizmente, não admite, por exemplo, a presença – e é claro isso nas várias colocações que já foram feitas aqui – de técnicos defensores da ciência. Nós ouvimos agora recentemente aí o ""gabinete das sombras"", um gabinete paralelo, claramente contrário, por exemplo, à vacinação, nos vários vídeos, de fato, que foram apresentados. A gente vê, dos demais ministros que passaram aqui, a motivação da saída deles por falta de autonomia. O Presidente da República não usa máscara, e não usa mesmo. Ele faz escárnio da população brasileira, está lá junto com aglomeração. E o senhor num outro discurso. Quer dizer, o senhor está dentro de um cenário, onde a sua fala está totalmente contrária às práticas que são feitas pelo Governo e até por integrantes do seu próprio ministério. O senhor se acha um homem frustrado? O senhor não se sente incomodado dentro dessa estrutura? O senhor é confortável, como Ministro da Saúde, em cima de todo o seu histórico de vida, em detrimento, inclusive, de todos esses posicionamentos hoje que são feitos por membros do Governo? "
"1085","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Querida Senadora Eliziane, por gentileza. "
"1086","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Muito obrigada, Presidente. "
"1087","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Ministro, só para concluir. "
"1088","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Bom, o Presidente da República me deu uma oportunidade. A maior oportunidade da minha vida quem me deu foi o Presidente Bolsonaro: enfrentar esta pandemia. E eu estou fazendo o que eu posso pra trabalhar fortemente contra um inimigo poderoso, que é esse vírus. E vamos conseguir, Senadora. Eu não me sinto frustrado em nada, eu me sinto muito confiante de que nós vamos vencer esta pandemia. Essa é a minha impressão. E eu sei que tenho o apoio do Congresso Nacional pra isso. "
"1089","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Presidente, pela ordem, rapidamente. "
"1090","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Pois não. Inclusive, salvo melhor juízo... (Intervenção fora do microfone.) "
"1091","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Não, é o Senador Luis Carlos Heinze. "
"1092","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.)","Pois é. Rapidamente, é só por pra restabelecer a verdade, porque eu acho que está se repetindo aquele vídeo que foi passado aqui no início pelo Senador Renan Calheiros, que foi um trecho da Dra. Luana falando que foi barrada politicamente.         Logo depois, logo depois – estou inclusive com o vídeo aqui; não sei se dá tempo de mostrar –, ela desdiz e diz que realmente não sabe se foi a Casa Civil. Ela não confirma, ela volta atrás na decisão. Só para o restabelecimento da verdade. "
"1093","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Obrigado, Senador Girão. Senador Luis Carlos Heinze, por gentileza. "
"1094","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS. Para interpelar.)","Eu botei esse vídeo na minha fala. Eu vou mostrar esse vídeo. Sr. Presidente, Sr. Ministro, colegas Senadora e Senadores, infelizmente, Ministro, nós estamos vendo hoje no Brasil a própria mídia e o pessoal da oposição contrários ao Presidente Bolsonaro. Mostram as falas como se fosse a pior coisa do mundo, mas The Wall Street Journal mostra na semana que passou – aqui está a reportagem – o crescimento do Brasil pós-pandemia, uma das melhores economias do mundo pelo trabalho realizado pelo Presidente da República e seus ministros, onde V. Exa. se inclui. Na semana passada ou retrasada, a BBC de Londres também faz uma publicação sobre a redução da pobreza, trabalho também realizado pelo Governo Jair Bolsonaro. Então, vamos falar coisas positivas. Outra questão importante: não está se ouvindo falar em corrupção, Ministro. V. Exa. é brasileiro, já ouviu falar em outros governos. Isso não existe; é uma coisa diferente. Então, esse é o ponto importante a que eu quero fazer menção. Cumprimento também V. Exa. Semana passada, V. Exa., Fiocruz e Presidente Bolsonaro fizeram um acordo para que o Brasil seja produtor de IFA. Além das vacinas já adquiridas no seu período e no período de ministros anteriores, esses 622 milhões de doses, agora o Brasil será produtor de IFA, um trabalho do Ministério da Saúde com a Fiocruz. Da mesma forma, há um trabalho do Ministério da Saúde com o Butantan. Os dois institutos que estão fazendo vacinas hoje; uma é inglesa e outra é chinesa, mas o.k. Existe essa parceria. Falei inclusive ao Dr. Dimas aqui que ele estava criticando o Governo, e o Governo Bolsonaro, hoje sob seu comando na Saúde, tem mais de R$8 bilhões de contrato com o Butantan, assim com a Fiocruz, da mesma forma, que vão ampliar a produção de vacinas, de todo tipo de vacina lá. E muito com dinheiro do Governo atual. Então, esse é o primeiro ponto. A segunda questão, Ministro... Aí, eu quero discordar um pouco de V. Exa. no que diz respeito à questão do tratamento precoce. Vou voltar nesse assunto porque é importante. Estou vendo aqui o Senador Renan e outros colegas Senadores, Senador Girão, baterem muito nesse ponto. Aqui está um tratado pelo tratamento precoce, inclusive com receita do Senador Otto Alencar. O Senador Marcos do Val recebeu hidroxicloroquina, cloroquina, sei lá, ivermectina, azitromicina, vitamina. Esse homem está curado. Aqui eu quero lhe mostrar, Ministro: 15.408.401 brasileiros salvos. Quando o pessoal bota 474 mil mortos, eu lamento as mortes, Senador Girão, lamento, mas vamos comemorar vida. Esses 14 mil médicos – falam em 10, 14 – que estão hoje fazendo uma cruzada pelo Brasil botaram o seu CRM à disposição e estão enfrentando o Ministério Público, demissões – há médicos demitidos de seus hospitais, porque adotaram esse procedimento. Isso fez nós salvarmos 15 milhões de vidas. Há os cientistas, Senador Girão, que estão também trabalhando isso. Vi o Senador Otto falar aqui, por exemplo, de uma moça grávida que faleceu. Agora não fala, por exemplo, da pesquisa de Manaus, onde deram uma dose letal – letal! –, o senhor é médico e sabe disso, para 22 pacientes mortos. E aquele estudo, Ministro, criminalizou a cloroquina e a hidroxicloroquina.         Dr. Vladimir Zelenko, ele foi colega seu, médico ucraniano naturalizado americano. Ele foi indicado, Senador Renan, ao Prêmio Nobel da Paz. "
"1095","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Quem? "
"1096","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Senador Vladimir Zelenko, Senador... Médico Vladimir Zelenko. Por quê? Justamente pela adoção desse protocolo. E assim eu citaria outras grandes autoridades mundiais. Existem, hoje, dez estudos randomizados que acolhem esse procedimento e centenas de estudos hoje acolhendo também positivamente. Então, esse ponto é importante que a Conitec, que não seja política, muita gente de esquerda, e esse pessoal está dentro das universidades e comitês científicos, que tenha um procedimento técnico, respeitável, para que nós possamos fazer a vacina, sim, mas também não desqualificar o tratamento precoce. Já disse e eu repito, dados desta semana. O Reino Unido, que já vacinou 100% da sua população. O senhor sabe qual é a letalidade do Reino Unido hoje? É 2,82. Os Estados Unidos, que já vacinaram 90% da população, letalidade de 1,79. Agora, pegue a Índia, que vacinou apenas 16% da população, menos que o Brasil, letalidade de 1,21. O que eles fazem? Vacina e tratamento precoce. Então, é isso que eu quero que a gente consiga discutir e vamos discutir esse assunto, porque eu entendo que é importante. Então, esse é um ponto que eu gostaria de fazer essa colocação, sobre um ponto extremamente importante, porque nós não podemos desqualificar centenas e milhares de médicos brasileiros que adotaram esse procedimento. Ontem, Senador Girão, fiz uma live com um médico chileno, Dr. Bergoglio, e um médico italiano, Dr. Alegre, que estão querendo usar os procedimentos usados no Brasil, e eles querem usar do Chile, da Itália e de outros países para poder usar, usar... Esse é um trabalho que eles querem fazer para mostrar o que fazem na Itália e nos outros países. Nos Estados Unidos começam a rever esse processo. Aos colegas que... Outro dia me disseram assim que era um... Que eu tinha uma teoria da conspiração, Senador Renan. Prestem atenção, vocês já ouviram falar do relatório Fauci, e vocês ainda vão ouvir falar muito do relatório Fauci, que era um integrante do Governo Trump e que hoje está sendo muito discutido, inclusive o Presidente Biden pediu que reabrisse esse assunto lá nos Estados Unidos. A discussão está, hoje, em franca discussão, esta questão do que aconteceu ano passado em cima da criminalização desse assunto aqui. Então, esse é um assunto internacional, mas com repercussões aqui dentro do Brasil, porque aqui, Senador Girão, é ideologia: ""Eu sou contra o Presidente Bolsonaro, eu tenho que criminalizar o Presidente Bolsonaro"". Não é criminalizar o Presidente, são essas vidas, 15 milhões de vidas salvas hoje por esses médicos, que estão sendo perseguidos até por serem cientistas. Não vou falar o nome, mas um pesquisador, com um medicamento contra essa nova cepa, está recebendo pressão dentro do próprio Ministério da Saúde, Ministro. Vou lhe passar, não vou falar o nome, porque ele pediu que eu não revelasse. Imagina, um pesquisador brasileiro, descobrindo um remédio barato para tratar essa coisa, está sendo criminalizado. Isso é um crime! Isso é um caso que eu sei. Agora, existem centenas, dezenas, milhares, Senador Girão, por esse Brasil afora, gente que está sendo achacada pelo Ministério Público por ter adotado a postura de um procedimento.         Ministro, 90% das drogas – V. Exa. sabe – listadas no Rename não têm comprovação científica: 90% das drogas! Mais de 70% dos medicamentos no Ministério da Saúde são tratamentos off-label, que também não têm essa comprovação. Por que eu vou exigir? Aí, alguém diz assim: que nós estamos recebendo ou que alguém está comprando... Que a cloroquina, que a ivermectina está comprando alguém. Pelo amor de Deus! Senador Girão, se fosse o Remdesivir... Então, eu vou atacar os adversários... O senhor está ganhando bola do Remdesivir, que é US$1,5 mil. Outro medicamento, de que eu nem sei o nome, é US$3,5 mil. Então, o outro lado, quem sabe, está recebendo desse pessoal... A questão das vacinas é um mercado tri, tri, trilionário, e isso vai ser demonstrado nesse caso Fauci nos Estados Unidos. Alguém tem segundas intenções nessa questão. Ideologia e muito dinheiro por cima dessa questão. Então, por isso, é o ponto aqui que eu gostaria de dizer, Senador Girão: quem é o TCU, agora, para estar prescrevendo ou dizendo o que tem que fazer e o que não tem que fazer? O próprio STF? A imprensa? Quem hoje dá receita é a imprensa. Se V. Exa. é contra, se eu sou contra, bom, somos criminalizados porque adotamos um procedimento. ""Eu confio nisso"", não porque... Eu não sou médico, mas ouço médicos falando e que dizem, hoje, o que pode ser feito. Cientistas que nos aconselham, Senador Girão! Nós temos uma legião de professores universitários. Uma senhora do Rio de Janeiro, inclusive petista, sabe o que ela disse para mim: ""Senador Heinze, eu sou brasileira, eu acredito na ciência"". A pessoa tem razão, tem racionalidade. Então, esse é o ponto que eu quero deixar colocado aqui, mas peço que reflita, Ministro, nessa questão, sobre esse tratamento. A nossa posição é a seguinte: tratamento precoce e vacinação. Ponto. Temos que trabalhar. Inclusive – nós já temos conversado – o Governo Bolsonaro está juntando hoje laboratório de medicamentos humanos e medicamentos veterinários para sermos produtores de vacina. Fora a Fiocruz, que nós aplaudimos, fora o Butantan, que nós aplaudimos, precisamos também estimular laboratórios brasileiros produtores de vacina. Um trabalho magnífico do Ministro Marcos Pontes, do Dr. Marcelo e toda a sua equipe, com 16 vacinas. Três já, quatro ou cinco meses, Senador Renan, vai estar pronta a vacina brasileira. Lá na USP, em Ribeirão Preto; no Incor, em São Paulo; na Universidade de Minas Gerais e em outras universidades, já estão trabalhando vacinas nossas. Daqui a pouco, vão mexer um pouquinho, aparece a cepa 1, cepa 2, cepa... Nós temos condições. São cientistas nossos trabalhando. Não se fala nisso aqui, Ministro. V. Exa. está junto nesse processo, porque é o nosso Governo que está trabalhando esse assunto. E digo nosso, porque é um Governo que está proativo nessa questão. Então, essa é a colocação. "
"1097","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Obrigado, Senador Heinze. Nós não desconhecemos a legitimidade desses colegas que defendem o tratamento. E esse espaço será garantido amplamente na Comissão Nacional de Incorporação de Tecnologias do SUS. E a legislação prevê, inclusive, a realização de audiências públicas. E essas audiências públicas devem acontecer. E é na ambiência científica que essas divergências têm que ser resolvidas. Nós precisamos pacificar esse tema de uma vez por todas. Quando eu assumi o ministério, essa discussão já remontava a quase um ano, não é?         E, aí, eu tomei uma decisão de jogar essa questão para a esfera técnica, para que eu focasse naquilo que era fundamental, na minha crença como médico e como gestor público, que é fortalecer o nosso Programa Nacional de Imunização e essas medidas que aqui eu já disse aos senhores que eu procuro implementá-las na medida máxima do possível, e sair dessa situação mais forte do que nós entramos. Nós já percebemos a confiança que há no Brasil, e essa confiança é porque se acredita que nós vamos vacinar a nossa população. Os agentes econômicos já sinalizam com a possibilidade de crescimento do nosso produto interno bruto, a bolsa de valores tendo uma aceitação maior. Enfim, eu acredito que teremos um cenário mais satisfatório, e isso se deve, sobretudo, à nossa capacidade de vacinar a nossa população. A questão do chamado tratamento precoce precisa ser pacificada de uma vez por todas. Nós sabemos aqui que o Conselho Federal de Medicina editou um parecer – é um parecer em vigor – que, de certa maneira, baliza esses médicos, eticamente, que usam essas medicações. Eu não sei se os senhores vão convocar o Dr. Mauro Ribeiro pra falar sobre esse tema. "
"1098","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Está na relação. "
"1099","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Enfim, eu, como Ministro da Saúde, procuro buscar o ambiente mais harmônico para o enfrentamento da pandemia e para que possamos ter resultados, melhorar a eficácia nas ações de assistência à saúde e propiciar um retorno às atividades econômicas, que é o que todos nós queremos aqui, dentro de um cenário de segurança sanitária. Agora, se eu ficar no Ministério da Saúde somente discutindo uma questão interminável, eu não vou conseguir o nosso objetivo, que é pôr fim ao caráter pandêmico dessa doença, Senador. "
"1100","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Eu só queria também fazer uma colocação. A Dra. Francieli, que foi citada aqui, ela é infectologista. A Dra. Luana mentiu quando disse que não tinha, ela era a única. Aqui eu já tenho mais seis nomes, Senador Girão, de infectologistas no Ministério da Saúde, o.k.? Aqui estão os nomes das pessoas, e a Dra. Francieli é uma infectologista, Coordenadora-Geral do Programa Nacional de Imunizações, médica infectologista. E só pra completar aqui, Senador Randolfe. Eu recebi a documentação do seu Estado, dados de hoje... do dia 29 de maio, o relatório epidemiológico, e continua lá: letalidade 1.5, a menor letalidade do Brasil porque adota esse procedimento. Se eu usar mortalidade é diferente. Eu não posso escolher. Então, aqui eu falo em nome dos médicos, dos profissionais de saúde do Amapá, em nome do Conselho Regional, que me deu essa autonomia, do comitê médico que enfrenta o Covid no Amapá e do Conselho Regional de Medicina do Amapá, que me pediram para manifestar o seu repúdio ao tratamento dado pelo Senador Randolfe. Não há fraude nos dados do Amapá. Inclusive, o Governo do Estado ingressou com uma representação pela ofensa recebida. Aqui, vou passar a V. Exa. as documentações. Aqui está o relatório epidemiológico, aqui está o parecer técnico científico, aqui está o Decreto 1.932, o Centro de Operações de Emergência Pública, cópia do decreto de novo e a nota de repúdio do Conselho de Medicina do Estado do Amapá, certo? Esses são os documentos, porque eu não gosto, Senador Randolfe... V. Exa. me chamou de mentiroso, eu não estou mentindo. Não tenho idade pra isso. Olha pra minha cara, com 70 anos de idade, e o que eu estou fazendo, pra receber o tratamento que V. Exa. deu a mim semana passada. Aqui estão documentos do seu Estado. Não são meus. Pedi... Eles estão indignados. V. Exa. grava lives com eles, falando do tratamento, e daqui a pouco criminaliza um tratamento que o seu Estado... É o melhor índice. Eu falei ontem, Senador Girão: esses médicos italianos, chilenos, eles querem o case do Amapá, eles querem saber lá na Itália, no Chile, em outros países. E outros Municípios brasileiros têm isso. A Dra. Raissa, lá em Porto Seguro, e o doutor... Porto Feliz e vários outros Municípios brasileiros têm esse tratamento.         Muito obrigado, Sr. Presidente. "
"1101","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Obrigado, Senador Heinze. Permita-me só um rápido esclarecimento. V. Exa., agora, colocou o dado apropriado. Trata-se de letalidade, não de mortalidade, que é o dado reconhecido mundialmente, globalmente, pela Universidade Johns Hopkins, que é a referência global para tratar sobre casos de pandemia. Estou muito curioso para receber a representação da Secretaria de Saúde do meu Estado. Aliás, o Governador do meu Estado, inclusive, é um dos convocados a esta CPI, e terei muita satisfação em dialogar com S. Exa. sobre esse dado e sobre outros. Estou muito curioso em receber... Aguardo, como um vigia espera pela aurora, por isso. O Senador Heinze, aqui, várias vezes, tem prestado alguns dados importantes a esta CPI, não é? S. Exa. já informou aqui, por exemplo, que houve a aprovação do Parlamento italiano sobre o uso de hidroxicloroquina, que teve greve pelo tratamento precoce na Grã-Bretanha e que, parece-me, a Mia Khalifa deveria, talvez, vir a esta CPI. "
"1102","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Nem falei nisso! "
"1103","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Então, tem dado algumas contribuições muito importantes. "
"1104","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Não, não falei. Eu só quero saber... "
"1105","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Sequencialmente, então, passamos a palavra... "
"1106","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","... quem financiou aquela pesquisa. "
"1107","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","... ao Senador Eduardo Girão. V. Exa... "
"1108","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para interpelar.)","Muitíssimo obrigado, Presidente. Eu quero iniciar dando as boas-vindas ao Ministro Marcelo Queiroga aqui, nesta Comissão, e começar com uma frase do grande pacifista e humanista Mahatma Gandhi. Ele diz o seguinte: ""No olho por olho e dente por dente, a humanidade vai acabar cega e sem dentes"". Mostra o quanto está ultrapassada a lei de Talião, o troco, o revidar. O senhor manteve aqui, agora há pouco, antes da última intervenção que nós tivemos e da suspensão da sessão, uma postura muito cordial, se dando ao respeito, e isso é importante neste momento em que a gente vê aqui uma CPI sendo usada como instrumento político claramente. O senhor está aqui pela segunda vez em menos de 30 dias, em pouco mais de 30 dias, 32 dias, se não me engano. O senhor sabe qual é o motivo para o senhor estar vindo aqui? O senhor está vindo porque, na semana passada, foi anunciada a Copa América no Brasil, que o Brasil iria sediar a Copa América. Aí se antecipou a vinda sua, que poderia ser lá na frente, antes dos Governadores – e se atrasou ao máximo para a gente ouvi-los –, antes dos Prefeitos, todos visitados pela Polícia Federal, antes do Consórcio Nordeste. Mas, não, nesta CPI, faz, manda e desmanda o grupo predominante dela, que, de forma ditatorial, chamou o senhor, colocou o senhor para vir aqui, tirando-o do front, tirando V. Exa. do front. Quanto é que representa, Senador Marcos do Val, um dia de trabalho do Ministro da Saúde no momento grave, gravíssimo, que a gente vive, podendo ampliar a campanha de vacinação, podendo visitar Estados e Municípios junto com a equipe? O senhor simplesmente vem aqui mais uma vez para esclarecer coisas que já tinha esclarecido, mas a Copa América te trouxe aqui.         E eu digo uma coisa para o senhor: esta CPI precisa de um chá de bússola, ela está patinando, ela precisa encontrar um caminho para realmente desenvolver um trabalho como outras CPIs desenvolveram no País, como a CPI do Mensalão, a CPI do Petrolão. Essas, sim, puderam mostrar exatamente o que ocorreu. É óbvio que eu vejo o senhor numa saia justa muito grande aqui, e isso... O Presidente da República dá motivos para isso quando causa aglomeração, quando não usa máscara. Nós estamos numa guerra e, numa guerra, todas as armas precisam ser usadas, e o líder máximo tinha que dar esse exemplo. Mas o senhor tem feito seu trabalho, eu tenho notícias de que o senhor já chegou ao ministério às cinco e meia da manhã, já desenvolvendo o trabalho com a sua equipe. Acho que grandes batalhas são dadas a grandes guerreiros. Então, como cidadão brasileiro, lhe agradeço. Mesmo tendo crítica ao Governo, vejo que o senhor está desenvolvendo o trabalho, inclusive ampliando muito a vacinação no País. Eu espero que esta CPI deixe esse negócio de Copa América de lado. Vamos focar no que é importante! Poxa, o senhor já disse aqui e todo mundo sabe: Copa América, Senador Marcos do Val, está tendo, vai ter, mas tem antes os campeonatos regionais que já tiveram seus campeões, já tivemos aqui a Sul-Americana no Brasil, já tivemos as eliminatórias da Copa do Mundo, estamos tendo Jogos Pan-Americanos – delegações de vários países estão no Rio de Janeiro agora, enquanto a gente está conversando aqui –, e ninguém fala nada. Tudo virou política neste País! É a cegueira, é a cegueira política neste País! Até o tratamento precoce, como bem colocou o Senador Heinze, virou cegueira, porque o Presidente erra quando vai... Pode ter as melhores intenções, mas, quando vai mostrar um medicamento para a população... Isso não é papel de Presidente, mas, a partir daí, se demonizou, e tem médicos valorosos que o senhor conhece, que eu conheço, que o Senador Heinze conhece, acho que todos os colegas aqui conhecem, que estão fazendo um trabalho salvando vidas. E não é um medicamento ou dois, são 17 medicamentos neste País que estão sendo escondidos da população – em políticas públicas! E um detalhe interessante disso tudo: eu defendo a autonomia médica e a gente precisa... Eu gostaria de ouvir o Dr. Mauro, Presidente do Conselho Federal de Medicina, aqui. Aprovo o requerimento de chamada dele, acho que a verdade tem que vir à tona. Assim como trazer cientistas contra e cientistas a favor para fazerem o debate. Vamos fazer um debate colocando um de um lado e outro do outro dando tempo igual. Eu já fiz isso aqui, eu já fiz isso aqui há cerca de dois meses e meio no Senado Federal, o Senador Marcos do Val participou. Foi um debate público nesta Casa no qual a gente pôde ouvir cientistas e médicos renomados contra e cientistas e médicos renomados a favor do tratamento. Quem quiser assistir, vá à TV Senado, no YouTube, coloque lá ""tratamento profilático Covid"" e assista lá para tirar suas conclusões.         Mas eu espero que não vão, que esta CPI não vá chamar aqui os Governadores de Goiás, de Mato Grosso, porque vão receber a Copa América. Aí, desvirtua. Vamos atrás de corrupção! O povo brasileiro quer saber nas ruas também de corrupção. Vamos investigar o Governo Federal – concordo que tem que investigar –, mas vamos investigar também... Porque um ponto aqui, Senador Eduardo Braga, Senador Reguffe, um ponto que é pacífico entre nós aqui, pacífico entre os Senadores é que não faltou dinheiro nessa pandemia. O Governo Federal mandou dinheiro para Estados e Municípios suficientemente, tanto que chegam a dizer aqui nos corredores que o Governo central ficou pobre, ficou no vermelho, e os Estados e Municípios, no azul. E o que é que foi feito desse dinheiro? Eu quero lhe perguntar sobre corrupção, quero lhe perguntar sobre corrupção. O senhor conhece o Consórcio Nordeste? "
"1109","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Já me reuni com os Governadores do Consórcio Nordeste para tratar da questão da vacina Sputnik – somente para tratar desse tema. "
"1110","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","O escândalo dos respiradores, dos 300 respiradores que até hoje não chegaram, comprados da indústria da maconha, pagos antecipadamente quase R$50 milhões do povo nordestino... O senhor não soube disso ainda? "
"1111","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Não, eu sei através da mídia, da imprensa, né? Eu sei que esses processos aí estão com a Polícia Federal para que se apurem as responsabilidades. O Ministério da Saúde tem procurado levar o suporte para Estados e Municípios, seja com insumos estratégicos, seja com suporte econômico, habilitação de leitos de terapia intensiva, aquisição de equipamentos como respiradores, como monitores, de tal sorte que não falte assistência à população. Essa questão da aplicação apropriada do recurso público é um compromisso de todo gestor público. O ministério tem suas áreas de controle, tem o Denasus, que é o departamento de auditoria, que naturalmente não tem pernas para fazer auditoria nos 5.570 Municípios do Brasil, mas, por amostragem, faz auditorias. Há o TCU, que fiscaliza, há os tribunais de contas do Estado... Enfim, o que nós queremos – e todos nós queremos isto – é que essas verbas públicas cheguem ao seu destino, porque são políticas públicas eficientes... "
"1112","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Mas o senhor acredita que corrupção, desvio de verbas públicas em época de pandemia também mata? "
